Comparacoes =   99; Trocas =   99; Tempo = 0.000010; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000005; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000005; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000003; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000005; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000005; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000005; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000005; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000005; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000005; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000005; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000005; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000003; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
Comparacoes =   99; Trocas =   99; Tempo = 0.000004; Elementos = 100
